uniqueId,date,index_name,company,type,rating,price,fluct_rate
134289276437168,2022-01-16,NQGI,NASDAQ,non-LargeCap,4,,12.95
134289276443984,2022-06-20,DSI,DJ,non-LargeCap,4,252,18.22
134289276444032,2022-04-12,NDX,NASDAQ,non-LargeCap,4,106,23.85
134289276443168,2022-07-12,500,SNP,LargeCap,4,130,16.65
134289276443504,2022-04-21,D30,DJ,non-LargeCap,5,247,11.06
134289276437120,2022-09-07,DSI,DJ,non-LargeCap,4,179,16.2
134289276441248,2022-08-17,400,SNP,LargeCap,4,120,13.85
134289276441152,2022-04-09,D30,DJ,non-LargeCap,4,114,
134289276443120,2022-05-27,NDX,NASDAQ,non-LargeCap,4,219,20.04
134289276438272,2022-11-09,D30,DJ,non-LargeCap,4,104,5.05
134289276443648,2022-06-01,DSI,DJ,non-LargeCap,5,166,16.79
134289276442784,2022-08-23,DSI,DJ,non-LargeCap,5,272,9.16
134289276443840,2022-07-28,300,SNP,LargeCap,5,149,23.4
134289276437216,2022-06-28,D30,DJ,non-LargeCap,3,193,12.55
134289276443888,2022-04-24,DSI,DJ,non-LargeCap,4,114,17.91
134289276443216,2022-11-25,NDX,NASDAQ,non-LargeCap,5,132,14.16
134289276436784,2022-06-21,D30,DJ,non-LargeCap,5,,18.64
134289276444368,2022-10-03,500,SNP,LargeCap,5,131,20.04
134289276441056,2022-08-21,400,SNP,LargeCap,3,106,10.68
134289276441200,2022-11-23,NDX,NASDAQ,non-LargeCap,5,104,15.75
134289276441104,2022-10-15,DSI,DJ,non-LargeCap,4,139,21.46
134289276437792,2022-10-02,300,SNP,LargeCap,5,134,18.96
134289276437648,2022-03-04,SOX,NASDAQ,non-LargeCap,2,146,
134289276437888,2022-08-29,D30,DJ,non-LargeCap,,178,13.18
134289276437840,2022-06-21,400,SNP,LargeCap,4,136,18.25
134289276437984,2022-05-11,DSI,DJ,non-LargeCap,4,123,16.84
134289276437936,2022-09-21,SOX,NASDAQ,non-LargeCap,5,130,14.43
134289276438080,2022-03-27,D30,DJ,non-LargeCap,5,176,16.81
134289276438032,2022-10-02,400,SNP,LargeCap,4,105,21.11
134289276437408,2022-03-05,500,SNP,LargeCap,5,164,17.39
134289276436640,2022-06-23,SOX,NASDAQ,non-LargeCap,4,116,19.9
134289276440960,2022-04-13,400,SNP,LargeCap,5,122,18.07
134289276439952,2022-11-13,D30,DJ,non-LargeCap,4,183,19.11
134289276444080,2022-03-22,500,SNP,LargeCap,5,161,6.85
134289276440864,2022-02-07,500,SNP,LargeCap,4,125,15.31
134289276440912,2022-07-17,NDX,NASDAQ,non-LargeCap,5,166,16.03
134289276436976,2022-06-09,D30,DJ,non-LargeCap,3,105,17.52
134289276436880,2022-03-26,500,SNP,LargeCap,4,116,21.51
134289276436832,2022-04-04,D30,DJ,non-LargeCap,,129,16.18
134289276441008,2022-07-18,300,SNP,LargeCap,3,160,20.98
134289276440816,2022-06-12,400,SNP,LargeCap,3,141,10.87
134289276436688,2022-06-21,NDX,NASDAQ,non-LargeCap,3,142,16.07
134289276443744,2022-06-15,NDX,NASDAQ,non-LargeCap,4,280,
134289276444848,2022-08-16,D30,DJ,non-LargeCap,4,230,22.5
134289276436928,2022-12-23,NDX,NASDAQ,non-LargeCap,3,120,10.91
134289276436736,2022-05-17,DSI,DJ,non-LargeCap,5,100,16.68
134289276444944,2022-06-19,SOX,NASDAQ,non-LargeCap,5,193,20.49
134289276445040,2022-10-14,500,SNP,LargeCap,4,133,5.47
134289276445088,2022-08-19,NQGI,NASDAQ,non-LargeCap,,114,14.07
134289276436544,2022-04-21,500,SNP,LargeCap,5,194,21.12
134289276444896,2022-11-17,D30,DJ,non-LargeCap,4,219,9.89
134289276437264,2022-06-01,SOX,NASDAQ,non-LargeCap,4,214,16.43
134289276437360,2022-05-03,NQGI,NASDAQ,non-LargeCap,4,148,14.96
